Vintage,Wine,Score,Reviewer/Publication,Reviewed by,Honorable Mentions,Review
2018,"""Soberanes Vineyard"" SLH Pinot Noir",93,James Suckling,,,"Pretty aromas of blue fruit, violets, bergamot, walnut husk and slate. Dark spices and ground coffee, too. It’s medium-to full-bodied with toned, fine-grained tannins. Intense and focused core of dark fruit, earth and spice. Drink or hold."
2018,"""Soberanes Vineyard"" SLH Pinot Noir",89,Burghound,,,
2018,"""4 Amours"" Special Blend SC Pinot Noir",99,California Wine Advisers,,,"This 2018 edition of Della’s best-barrel reserve Pinot is an exceptional experience that sumptuous Pinot enthusiasts are going to adore. The flashy bouquet displays with intense notes of Morello cherries, rhubarb, raspberry pie, and Christmas spices. A tour de force, this exquisite Pinot Noir flaunts silky smooth waves of monumentally delicious dark berries, black plum, oolong tea, cranberry, hints of vanilla oak and then culminates in a 40 second finish. Worthy of 98 points now and well on the path towards 99 points over the next 3 – 5 years. Enjoy through 2027+. Decanting recommended prior to 2024."
2018,"""4 Amours"" Special Blend SC Pinot Noir",95,Jeb Dunnuck,,,"The most expensive Pinot Noir in the lineup, the 2018 Pinot Noir Sonoma Coast 4 Amours is a cellar selection of four barrels, with the blend ultimately spending 15 months in 52% new French oak. Lots of framboise, candied cherries, wildflowers, and violet notes all emerge from the glass, and it's beautifully textured and medium to full-bodied, with no hard edges and ripe yet present tannins. Coming all from the Sonoma Coast, this beautiful, powerful Pinot Noir will drink well for 4-6 years."
2018,"""4 Amours"" Special Blend SC Pinot Noir",94,Wine Enthusiast,,,"A four-barrel blend of the vintage, this small-production specialty offering opens in a wealth of high-toned red fruit and citrus. From the bright start it develops velvety richness and savory character on the palate, bursting in black tea, clove, compost and white pepper"
2018,"""4 Amours"" Special Blend SC Pinot Noir",94,The New Wine Review,,,
2018,"""4 Amours"" Special Blend SC Pinot Noir",93,Wilfred Wong,,,"The 2018 Domaine Della 4 Amours Pinot Noir presents a perfect purity of the grape variety. This wine tantalizes the palate with aromas and flavors of ripe red fruit and brisk minerality. Enjoy its lovely and elegant finish with a rosemary-infused, oven-baked rack of lamb. "
2018,"""4 Amours"" Special Blend SC Pinot Noir",93,James Suckling,,,"Wild-raspberry, bramble, clove, dried-earth and potpourri aromas. It’s medium-to full-bodied with sleek, fine tannins and bright acidity. Juicy and flavorful with a rounded, spiced finish. Plenty of fruit. Drink or hold."
2018,"""4 Amours"" Special Blend SC Pinot Noir",92,Robert Parker's Wine Advocate,,,
2017,Sonoma Coast Chardonnay,93,Wine Enthusiast,,,
2017,Sonoma Coast Chardonnay,92,Robert Parker's Wine Advocate,,,
2017,Sonoma Coast Chardonnay,91,Wine Spectator,,,
2017,Sonoma Coast Chardonnay,89,Rusty Gaffney - PrinceofPinot,,,
2017,Russian River Valley Pinot Noir,91,Wine Spectator,,,
2017,Russian River Valley Pinot Noir,91,Robert Parker's Wine Advocate,,,
2017,Russian River Valley Pinot Noir,91,James Suckling,,,
2017,Russian River Valley Pinot Noir,91,Jeb Dunnuck,,,
2017,Russian River Valley Pinot Noir,90,Rusty Gaffney - PrinceofPinot,,,
2017,Russian River Valley Pinot Noir,90,Wine Enthusiast,,,
2017,Russian River Valley Pinot Noir,87,Antonio Galloni,,,
2017,Sonoma Coast Pinot Noir,92,Robert Parker's Wine Advocate,,,
2017,Sonoma Coast Pinot Noir,91,Wine Spectator,,,
2017,Sonoma Coast Pinot Noir,91,James Suckling,,,
2017,Sonoma Coast Pinot Noir,90,Wine Enthusiast,,,
2017,Sonoma Coast Pinot Noir,87,Rusty Gaffney - PrinceofPinot,,,
2017,Sonoma Coast Pinot Noir,86,Antonio Galloni,,,
2017,"""Ritchie Vineyard"" RRV Chardonnay",95,Jeb Dunnuck,,,"Aged 15 months in 25% new French oak, the 2017 Chardonnay Ritchie Vineyard isn't far off the 2016 in style yet has slightly vibrancy and sexy fruit. Lemon curd, salty sea breeze, white flowers, and some crushed rock notes all define this vibrant, pure, incredibly elegant Chardonnay that has bright acidity, good concentration, and a textured that just glides over the palate. It’s a brilliant Chardonnay to enjoy over the coming 7-8 years."
2017,"""Ritchie Vineyard"" RRV Chardonnay",93,Robert Parker's Wine Advocate,,,
2017,"""Ritchie Vineyard"" RRV Chardonnay",92,Wine Enthusiast,,,
2017,"""Ritchie Vineyard"" RRV Chardonnay",91,Wine Spectator,,,
2017,"""Ritchie Vineyard"" RRV Chardonnay",91,Rusty Gaffney - PrinceofPinot,,,
2017,"""Graham Family Vineyard"" RRV Pinot Noir",93,Robert Parker's Wine Advocate,,,
2017,"""Graham Family Vineyard"" RRV Pinot Noir",93,James Suckling,,,
2017,"""Graham Family Vineyard"" RRV Pinot Noir",92,Wine Enthusiast,,,
2017,"""Graham Family Vineyard"" RRV Pinot Noir",92,Jeb Dunnuck,,,"The 2017 Pinot Noir Graham Family Vineyard is similar to the 2016 with its ripe cherry, strawberry, and floral core, yet it's slightly fresher and more lively, with a beautifully layered, elegant texture. With good acidity, ripe tannins, it's already drinking beautifully yet should easily keep for 7-8 years. This cuvée was brought up for 15 months in 52% new French oak."
2017,"""Graham Family Vineyard"" RRV Pinot Noir",91,Rusty Gaffney - PrinceofPinot,,,
2017,"""Graham Family Vineyard"" RRV Pinot Noir",90,Antonio Galloni,,,
2017,"""Graham Family Vineyard"" RRV Pinot Noir",86,Wine Spectator,,,Lots of cedar and juniper berry notes accent the dried red fruit and berry flavors. Offers a lightly spiced finish. Drink now. 150 cases made.  –KM
2017,"""Earl Stephens Vineyard"" RRV Pinot Noir",95,Wine Enthusiast,,,"Spicy and thick in rich, rewarding flavors of baked rhubarb and strawberry spiced by nutmeg, this bold red is also floral in rose petal. Velvety smooth and full bodied in style, it delivers concentrated complexity and undeniable appeal. VIRGINIE BOONE"
2017,"""Earl Stephens Vineyard"" RRV Pinot Noir",93.5,Jeb Dunnuck,,,"The 2017 Pinot Noir Earl Stephens Vineyard comes from a Russian River site and was brought up in 55% new French oak. It has a darker core of fruit, showing notes of tart black cherries, cranberries, damp earth, leafy underbrush, and spring flowers. It's elegant, silky and seamless on the palate, with a beautiful tension and vibrancy in its texture, as well as a great finish."
2017,"""Earl Stephens Vineyard"" RRV Pinot Noir",93,Rusty Gaffney - PrinceofPinot,,,
2017,"""Earl Stephens Vineyard"" RRV Pinot Noir",92,Robert Parker's Wine Advocate,,,
2017,"""Earl Stephens Vineyard"" RRV Pinot Noir",92,James Suckling,,,
2017,"""Earl Stephens Vineyard"" RRV Pinot Noir",92,Antonio Galloni,,,
2017,"""Terra de Promissio Vineyard"" SC Pinot Noir",94,Jeb Dunnuck,,,"The 2017 Pinot Noir Terra De Promissio saw slightly more new oak than the 2016 and offers more red fruits, as well as lots of toasted spice, crushed flowers, honeysuckle, and smoked earth. It's medium to full-bodied, has a light, graceful texture, beautiful balance, and a beautiful finish. It shows the more fresh, juicy, yet also sunny style of the vintage beautifully. It too will keep for at least 7-8 years."
2017,"""Terra de Promissio Vineyard"" SC Pinot Noir",93,James Suckling,,,
2017,"""Terra de Promissio Vineyard"" SC Pinot Noir",92.5,Robert Parker's Wine Advocate,,,
2017,"""Terra de Promissio Vineyard"" SC Pinot Noir",92,Wine Spectator,,,
2017,"""Terra de Promissio Vineyard"" SC Pinot Noir",92,Wine Enthusiast,,,
2017,"""Terra de Promissio Vineyard"" SC Pinot Noir",92,Antonio Galloni,,,
2017,"""Terra de Promissio Vineyard"" SC Pinot Noir",91,Rusty Gaffney - PrinceofPinot,,,
2016,Sonoma Coast Chardonnay,93,Rusty Gaffney - PrinceofPinot,,,
2016,Sonoma Coast Chardonnay,92,Robert Parker's Wine Advocate,,,
2016,Sonoma Coast Chardonnay,89,Wilfred Wong,,,
2016,Sonoma Coast Chardonnay,89,Antonio Galloni,,,
2016,Sonoma Coast Chardonnay,88,Wine Spectator,,,
2016,Sonoma Coast Chardonnay,88,Wine Enthusiast,,,
2016,Russian River Valley Pinot Noir,93.5,Robert Parker's Wine Advocate,,,
2016,Russian River Valley Pinot Noir,93,Jeb Dunnuck,,,
2016,Russian River Valley Pinot Noir,91,Wine Enthusiast,,,
2016,Russian River Valley Pinot Noir,90,Wilfred Wong,,,
2016,Russian River Valley Pinot Noir,90,Antonio Galloni,,,
2016,Russian River Valley Pinot Noir,89,Wine Spectator,,,
2016,Russian River Valley Pinot Noir,88,Rusty Gaffney - PrinceofPinot,,,
2016,Sonoma Coast Pinot Noir,94.5,Robert Parker's Wine Advocate,,,"Pale to medium ruby, the 2016 Pinot Noir Sonoma Coast is youthfully subdued on the nose, opening to pomegranate, Bing cherry, warm red berries and pretty dried flowers with dusty earth, autumn leaves and spicy touches. Light to medium-bodied, it features wonderfully ripe, spicy red fruit in the mouth with soft, grainy tannins and lovely sweet spice on the finish. 225 cases produced."
2016,Sonoma Coast Pinot Noir,94,Jeb Dunnuck,,,"I loved the 2016 Pinot Noir Sonoma Coast and this beauty has a terrific bouquet of wild strawberries, flowers, incense, and spice. It's elegant, medium to full-bodied, has a wonderful, seamless texture, and a great finish. Aged 15 months in 47% new French oak, it’s one classy Pinot Noir to enjoy over the coming decade or so."
2016,Sonoma Coast Pinot Noir,93,Wine Spectator,,,
2016,Sonoma Coast Pinot Noir,93,Wine Enthusiast,,,
2016,Sonoma Coast Pinot Noir,93,James Suckling,,,
2016,Sonoma Coast Pinot Noir,91,Wilfred Wong,,,
2016,Sonoma Coast Pinot Noir,91,Antonio Galloni,,,
2016,Sonoma Coast Pinot Noir,90,Rusty Gaffney - PrinceofPinot,,,
2016,"""Ritchie Vineyard"" RRV Chardonnay",94,Rusty Gaffney - PrinceofPinot,,,
2016,"""Ritchie Vineyard"" RRV Chardonnay",93.5,Robert Parker's Wine Advocate,,,
2016,"""Ritchie Vineyard"" RRV Chardonnay",93,Jeb Dunnuck,,,"From one of the Grand Cru sites in the Russian River, the 2016 Chardonnay Ritchie Vineyard spent 15 months in 30% new French oak. Its vibrant gold color is followed by a ripe, sexy bouquet of white currants, caramelized pineapple, white flowers, and brioche. Bright and juicy on the palate, it has plenty of acidity, good mid-palate depth, and a great finish. It shows the rich, pure, classic style of this vintage beautifully."
2016,"""Ritchie Vineyard"" RRV Chardonnay",92,Wine Enthusiast,,,
2016,"""Ritchie Vineyard"" RRV Chardonnay",89,Wilfred Wong,,,
2016,"""Ritchie Vineyard"" RRV Chardonnay",89,Wine Spectator,,,
2016,"""Ritchie Vineyard"" RRV Chardonnay",89,Antonio Galloni,,,
2016,"""Graham Family Vineyard"" RRV Pinot Noir",94,Wine Enthusiast,,,
2016,"""Graham Family Vineyard"" RRV Pinot Noir",93,Robert Parker's Wine Advocate,,,
2016,"""Graham Family Vineyard"" RRV Pinot Noir",93,Jeb Dunnuck,,,
2016,"""Graham Family Vineyard"" RRV Pinot Noir",92,Wilfred Wong,,,
2016,"""Graham Family Vineyard"" RRV Pinot Noir",92,Antonio Galloni,,,
2016,"""Graham Family Vineyard"" RRV Pinot Noir",89,Rusty Gaffney - PrinceofPinot,,,
2016,"""Terra de Promissio Vineyard"" SC Pinot Noir",93.5,Robert Parker's Wine Advocate,,,
2016,"""Terra de Promissio Vineyard"" SC Pinot Noir",93,Wilfred Wong,,,
2016,"""Terra de Promissio Vineyard"" SC Pinot Noir",93,Jeb Dunnuck,,,
2016,"""Terra de Promissio Vineyard"" SC Pinot Noir",93,Antonio Galloni,,,
2016,"""Terra de Promissio Vineyard"" SC Pinot Noir",92,Wine Spectator,,,
2016,"""Terra de Promissio Vineyard"" SC Pinot Noir",92,Rusty Gaffney - PrinceofPinot,,,
2016,"""Terra de Promissio Vineyard"" SC Pinot Noir",91,Wine Enthusiast,,,
2016,"""Keefer Ranch"" RRV Pinot Noir",93.5,Robert Parker's Wine Advocate,,,
2016,"""Keefer Ranch"" RRV Pinot Noir",90,Wilfred Wong,,,
2016,"""Keefer Ranch"" RRV Pinot Noir",90,Wine Enthusiast,,,
2016,"""Keefer Ranch"" RRV Pinot Noir",90,Antonio Galloni,,,
2016,"""Keefer Ranch"" RRV Pinot Noir",88,Wine Spectator,,,
2016,"""Keefer Ranch"" RRV Pinot Noir",88,Rusty Gaffney - PrinceofPinot,,,
2015,Sonoma Coast Chardonnay,94,Wine Enthusiast,,,
2015,Sonoma Coast Chardonnay,94,Jeb Dunnuck,,,"Coming all from the Ritchie Vineyard (which is in the Russian River Valley) and aged 15 months in 30% new French oak, the 2015 Chardonnay Sonoma Coast is a rockstar! Buttered lemons, citrus, honeysuckle, poached pear, and some white flower notes all flow to a rich, powerful, beautifully concentrated Chardonnay that has some rock-solid mid-palate heft yet has vibrant acidity and purity. It's a beautiful, serious effort."
2015,Sonoma Coast Chardonnay,90,Wine Spectator,,,
2015,Sonoma Coast Chardonnay,90,Robert Parker's Wine Advocate,,,
2015,Sonoma Coast Chardonnay,88,Rusty Gaffney - PrinceofPinot,,,
2015,Russian River Valley Pinot Noir,94,Jeb Dunnuck,,,
2015,Russian River Valley Pinot Noir,94,Wine Enthusiast,,,
2015,Russian River Valley Pinot Noir,93,Wine Spectator,,,
2015,Russian River Valley Pinot Noir,91,Robert Parker's Wine Advocate,,,
2015,Russian River Valley Pinot Noir,90,James Suckling,,,
2015,Russian River Valley Pinot Noir,89,Rusty Gaffney - PrinceofPinot,,,
2015,Sonoma Coast Pinot Noir,94,Wine Enthusiast,,,
2015,Sonoma Coast Pinot Noir,92,Jeb Dunnuck,,,"The 2015 Pinot Noir Sonoma Coast offers slightly more red fruits, bay leaf, and spice as well as a distinct salty minerality in its aromas and flavors. Silky, polished and elegant, with vibrant acidity, it's a harmonious, balanced, classic Pinot Noir that has rock-solid depth and richness."
2015,Sonoma Coast Pinot Noir,91,Robert Parker's Wine Advocate,,,
2015,Sonoma Coast Pinot Noir,91,Rusty Gaffney - PrinceofPinot,,,
2015,Sonoma Coast Pinot Noir,89,Wine Spectator,,,
2015,"""Ritchie Vineyard"" RRV Chardonnay",95,Robert Parker's Wine Advocate,,,
2015,"""Ritchie Vineyard"" RRV Chardonnay",95,Jeb Dunnuck,,,
2015,"""Ritchie Vineyard"" RRV Chardonnay",94,Wine Enthusiast,,,
2015,"""Ritchie Vineyard"" RRV Chardonnay",94,Rusty Gaffney - PrinceofPinot,,,
2015,"""Ritchie Vineyard"" RRV Chardonnay",91,Wilfred Wong,,,
2015,"""Ritchie Vineyard"" RRV Chardonnay",88,Wine Spectator,,,
2015,"""Terra de Promissio Vineyard"" SC Pinot Noir",94.5,Robert Parker's Wine Advocate,,,
2015,"""Terra de Promissio Vineyard"" SC Pinot Noir",94,Wine Enthusiast,,,
2015,"""Terra de Promissio Vineyard"" SC Pinot Noir",94,Rusty Gaffney - PrinceofPinot,,,
2015,"""Terra de Promissio Vineyard"" SC Pinot Noir",93,Wine Spectator,,,
2015,"""Terra de Promissio Vineyard"" SC Pinot Noir",92,Jeb Dunnuck,,,"The 2015 Pinot Noir Terra de Promissio offers a more peppery, herbal style. Plums, passion fruits, bouquet garni, and bay leaf notes all flow to a medium-bodied, elegant and lively Pinot Noir. It has good acidity, the fresh, elegant style of the vintage, and a great finish. Similar to the Keefer Ranch release, it spent 15 months in 45% new French oak."
2015,"""Terra de Promissio Vineyard"" SC Pinot Noir",85,Wine & Spirits,,,
2015,"""Keefer Ranch"" RRV Pinot Noir",94,Jeb Dunnuck,,,"California bay, black cherries, rose petals, and hints of spice all emerge from the 2015 Pinot Noir RRV Keefer Ranch Vineyard, which comes from a terrific vineyard in the Russian River Valley. Like all the wines here, it's silky and seamless on the palate, with medium-bodied richness, ultra-fine tannin, and a great finish. Aged 15 months in 45% new French oak, it’s going to keep for a decade or more."
2015,"""Keefer Ranch"" RRV Pinot Noir",93.5,Robert Parker's Wine Advocate,,,
2015,"""Keefer Ranch"" RRV Pinot Noir",93,Wine Enthusiast,,,
2015,"""Keefer Ranch"" RRV Pinot Noir",93,Rusty Gaffney - PrinceofPinot,,,
2015,"""Keefer Ranch"" RRV Pinot Noir",92,Wine Spectator,,,
2015,"""Keefer Ranch"" RRV Pinot Noir",85,Wine & Spirits,,,
2014,Sonoma Coast Chardonnay,92,Robert Parker's Wine Advocate,,,
2014,Sonoma Coast Chardonnay,90,Wine Enthusiast,,,
2014,Sonoma Coast Chardonnay,88,Rusty Gaffney - PrinceofPinot,,,
2014,Russian River Valley Pinot Noir,92,James Suckling,,,
2014,Russian River Valley Pinot Noir,90,Robert Parker's Wine Advocate,,,
2014,Russian River Valley Pinot Noir,89,Rusty Gaffney - PrinceofPinot,,,
2014,Russian River Valley Pinot Noir,89,Wine Spectator,,,
2014,Russian River Valley Pinot Noir,87,Wine Enthusiast,,,
2014,Sonoma Coast Pinot Noir,91,Rusty Gaffney - PrinceofPinot,,,
2014,Sonoma Coast Pinot Noir,91,James Suckling,,,
2014,Sonoma Coast Pinot Noir,90,Wilfred Wong,,,
2014,Sonoma Coast Pinot Noir,90,Wine Spectator,,,
2014,Sonoma Coast Pinot Noir,90,Robert Parker's Wine Advocate,,,
2014,Sonoma Coast Pinot Noir,88,Wine Enthusiast,,,
2014,"""Terra de Promissio Vineyard"" SC Pinot Noir",93,James Suckling,,,
2014,"""Terra de Promissio Vineyard"" SC Pinot Noir",92.5,Robert Parker's Wine Advocate,,,
2014,"""Terra de Promissio Vineyard"" SC Pinot Noir",92,Wine Enthusiast,,,
2014,"""Terra de Promissio Vineyard"" SC Pinot Noir",92,Rusty Gaffney - PrinceofPinot,,,
2014,"""Terra de Promissio Vineyard"" SC Pinot Noir",90,Wine Spectator,,,
2014,"""Keefer Ranch"" RRV Pinot Noir",93,Wine Enthusiast,,,
2014,"""Keefer Ranch"" RRV Pinot Noir",92,Robert Parker's Wine Advocate,,,
2014,"""Keefer Ranch"" RRV Pinot Noir",92,James Suckling,,,
2014,"""Keefer Ranch"" RRV Pinot Noir",89,Wine Spectator,,,
2014,"""Keefer Ranch"" RRV Pinot Noir",89,Rusty Gaffney - PrinceofPinot,,,
2013,Sonoma Coast Chardonnay,92,Wine Spectator,,,
2013,Sonoma Coast Chardonnay,91,Wine Enthusiast,,,
2013,Russian River Valley Pinot Noir,93,Greg Walters - Pinot Report,,,
2013,Russian River Valley Pinot Noir,92,Wine Spectator,,,
2013,Russian River Valley Pinot Noir,91,Rusty Gaffney - PrinceofPinot,,,
2013,Russian River Valley Pinot Noir,88,Wine Enthusiast,,,
2013,"""Terra de Promissio Vineyard"" SC Pinot Noir",93,Greg Walters - Pinot Report,,,
2013,"""Terra de Promissio Vineyard"" SC Pinot Noir",91,Rusty Gaffney - PrinceofPinot,,,
2013,"""Terra de Promissio Vineyard"" SC Pinot Noir",90,Wine Enthusiast,,,
2013,"""Terra de Promissio Vineyard"" SC Pinot Noir",89,Wine Spectator,,,
2013,"""Keefer Ranch"" RRV Pinot Noir",94,Rusty Gaffney - PrinceofPinot,,,
2013,"""Keefer Ranch"" RRV Pinot Noir",94,Greg Walters - Pinot Report,,,
2013,"""Keefer Ranch"" RRV Pinot Noir",93,Wine Spectator,,,
2013,"""Keefer Ranch"" RRV Pinot Noir",92,Wine Enthusiast,,,
2013,"""D Street"" SC Pinot Noir",,,,,
2012,Sonoma Coast Chardonnay,93,Wine Enthusiast,,,
2012,Sonoma Coast Chardonnay,88,Wine Spectator,,,
2012,Sonoma Coast Chardonnay,86,Rusty Gaffney - PrinceofPinot,,,
2012,Russian River Valley Pinot Noir,90,Wine Enthusiast,,,
2012,Russian River Valley Pinot Noir,90,Wine Spectator,,,
2012,Russian River Valley Pinot Noir,90,Rusty Gaffney - PrinceofPinot,,,
2012,"""Terra de Promissio Vineyard"" SC Pinot Noir",,,,,
2011,Russian River Valley Pinot Noir,,,,,
2010,Russian River Valley Pinot Noir,,,,,
